Sentences,Number,Condition,Whose
As a kid Benny was known for his hyperactivity...,27,V1N1,Ours
As a kid Benny was known for his hyperactivity disorder...,27,V1N1N2,Ours
As a kid Benny was diagnosed with a hyperactivity...,27,V2N1,Ours
As a kid Benny was diagnosed with a hyperactivity disorder...,27,V2N1N2,Ours
The mechanic scoffed at the idea of putting diesel...,28,V1N1,Ours
The mechanic scoffed at the idea of putting diesel engines...,28,V1N1N2,Ours
The mechanic scoffed at the idea of building diesel...,28,V2N1,Ours
The mechanic scoffed at the idea of building diesel engines...,28,V2N1N2,Ours
I heard that Billy stumbled upon a web...,29,V1N1,Ours
I heard that Billy stumbled upon a web site...,29,V1N1N2,Ours
I heard that Billy read a web...,29,V2N1,Ours
I heard that Billy read a web site...,29,V2N1N2,Ours
The school's outstanding graduation...,30,V1N1,Ours
The school's outstanding graduation rates...,30,V1N1N2,Ours
The school's high graduation...,30,V2N1,Ours
The school's high graduation rates...,30,V2N1N2,Ours
The worst part about using the bathroom in public is that they never flush the toilet...,31,V1N1,Ours
The worst part about using the bathroom in public is that they never flush the toilet paper...,31,V1N1N2,Ours
The worst part about using the bathroom in public is that they always run out of the toilet...,31,V2N1,Ours
The worst part about using the bathroom in public is that they always run out of the toilet paper...,31,V2N1N2,Ours
The doctor told me to pick up my prescription...,32,V1N1,Ours
The doctor told me to pick up my prescription drugs...,32,V1N1N2,Ours
The doctor told me to stop my recreational use of prescription...,32,V2N1,Ours
The doctor told me to stop my recreational use of prescription drugs...,32,V2N1N2,Ours
"After a lot of work, Tom finally found a way to make a living...",33,V1N1,Ours
"After a lot of work, Tom finally found a way to make a living room...",33,V1N1N2,Ours
"After a lot of work, Tom finally found a way to build a living...",33,V2N1,Ours
"After a lot of work, Tom finally found a way to build a living room...",33,V2N1N2,Ours
"When you breathe, your lungs expand near your rib...",34,V1N1,Ours
"When you breathe, your lungs expand inside your rib cage...",34,V1N1N2,Ours
"When you breathe, your lungs expand inside your rib...",34,V2N1,Ours
"When you breathe, your lungs expand inside your rib cage...",34,V2N1N2,Ours
Anna said that she actually had never written about a post...,35,V1N1,Ours
Anna said that she actually had never written about a post office...,35,V1N1N2,Ours
Anna said that she actually had never been to a post...,35,V2N1,Ours
Anna said that she actually had never been to a post office...,35,V2N1N2,Ours
Evan said that he shouldn't have thrown out all his junk...,36,V1N1,Ours
Evan said that he shouldn't have thrown out all his junk food...,36,V1N1N2,Ours
Evan said that he shouldn't have eaten all his junk...,36,V2N1,Ours
Evan said that he shouldn't have eaten all his junk food...,36,V2N1N2,Ours
Jane looked forward to going to the concert...,37,V1N1,Staubs
Jane looked forward to going to the concert hall...,37,V1N1N2,Staubs
Jane looked forward to visiting the concert...,37,V2N1,Staubs
Jane looked forward to visiting the concert hall...,37,V2N1N2,Staubs
John counted on his savings...,38,V1N1,Staubs
John counted on his savings bank...,38,V1N1N2,Staubs
John did business with his savings...,38,V2N1,Staubs
John did business with his savings bank...,38,V2N1N2,Staubs
The teacher looked over the nursery...,39,V1N1,Staubs
The teacher looked over the nursery rhyme...,39,V1N1N2,Staubs
The teacher read over the nursery...,39,V2N1,Staubs
The teacher read over the nursery rhyme...,39,V2N1N2,Staubs
The new taxi driver needed the license...,40,V1N1,Staubs
The new taxi driver needed the license plate...,40,V1N1N2,Staubs
The new taxi driver installed the license...,40,V2N1,Staubs
The new taxi driver installed the license plate...,40,V2N1N2,Staubs
Sam went to the funeral...,41,V1N1,Staubs
Sam went to the funeral home...,41,V1N1N2,Staubs
Sam phoned the funeral...,41,V2N1,Staubs
Sam phoned the funeral home...,41,V2N1N2,Staubs
The last performance of the ballet...,42,V1N1,Staubs
The last performance of the ballet dancer...,42,V1N1N2,Staubs
The graceful leap of the ballet...,42,V2N1,Staubs
The graceful leap of the ballet dancer...,42,V2N1N2,Staubs
He looked forward to the dinner...,43,V1N1,Staubs
He looked forward to the dinner table...,43,V1N1N2,Staubs
He boxed up the dinner...,43,V2N1,Staubs
He boxed up the dinner table...,43,V2N1N2,Staubs
Captain Jones ordered the platoon...,44,V1N1,Staubs
Captain Jones ordered the platoon commander...,44,V1N1N2,Staubs
Captain Jones whispered to the platoon...,44,V2N1,Staubs
Captain Jones whispered to the platoon commander...,44,V2N1N2,Staubs
Sam tried out the shower...,45,V1N1,Staubs
Sam tried out the shower curtain...,45,V1N1N2,Staubs
Sam stood behind the shower...,45,V2N1,Staubs
Sam stood behind the shower curtain...,45,V2N1N2,Staubs
John went to the laundry...,46,V1N1,Staubs
John went to the laundry basket...,46,V1N1N2,Staubs
John opened the laundry...,46,V2N1,Staubs
John opened the laundry basket...,46,V2N1N2,Staubs
Barbara went over to her station...,47,V1N1,Staubs
Barbara went over to her station wagon...,47,V1N1N2,Staubs
Barbara went over in her station...,47,V2N1,Staubs
Barbara went over in her station wagon...,47,V2N1N2,Staubs
Cindy smelled the garbage...,48,V1N1,Staubs
Cindy smelled the garbage truck...,48,V1N1N2,Staubs
Cindy heard the garbage...,48,V2N1,Staubs
Cindy heard the garbage truck...,48,V2N1N2,Staubs
Nora was held up by the traffic...,49,V1N1,Staubs
Nora was held up by the traffic light...,49,V1N1N2,Staubs
Nora was slowed at the traffic...,49,V2N1,Staubs
Nora was slowed at the traffic light...,49,V2N1N2,Staubs
Jenny looked out on the huge mountain...,50,V1N1,Staubs
Jenny looked out on the huge mountain lion...,50,V1N1N2,Staubs
Jenny heard the huge mountain...,50,V2N1,Staubs
Jenny heard the huge mountain lion...,50,V2N1N2,Staubs
Jane carefully examined the package...,51,V1N1,Staubs
Jane carefully examined the package deal...,51,V1N1N2,Staubs
Jane listened carefully to the package...,51,V2N1,Staubs
Jane listened carefully to the package deal...,51,V2N1N2,Staubs
The anxious starlet didn't have a talent...,52,V1N1,Staubs
The anxious starlet didn't have a talent scout...,52,V1N1N2,Staubs
The anxious starlet hadn't met a talent...,52,V2N1,Staubs
The anxious starlet hadn't met a talent scout...,52,V2N1N2,Staubs
The kids decided to move the pillow...,53,V1N1,Staubs
The kids decided to move the pillow fight...,53,V1N1N2,Staubs
The kids started having the pillow...,53,V2N1,Staubs
The kids started having the pillow fight...,53,V2N1N2,Staubs
The new principal visited the cafeteria...,54,V1N1,Staubs
The new principal visited the cafeteria manager...,54,V1N1N2,Staubs
The new principal talked to the cafeteria...,54,V2N1,Staubs
The new principal talked to the cafeteria manager...,54,V2N1N2,Staubs
Mary was reassured about the safety...,55,V1N1,Staubs
Mary was reassured about the safety belt...,55,V1N1N2,Staubs
Mary bought the safety...,55,V2N1,Staubs
Mary bought the safety belt...,55,V2N1N2,Staubs
Arnie enjoyed the season...,56,V1N1,Staubs
Arnie enjoyed the season tickets...,56,V1N1N2,Staubs
Arnie bought the season...,56,V2N1,Staubs
Arnie bought the season tickets...,56,V2N1N2,Staubs
David often approached his office...,57,V1N1,Staubs
David often approached his office work...,57,V1N1N2,Staubs
David often sorted through his office...,57,V2N1,Staubs
David often sorted through his office work...,57,V2N1N2,Staubs
The local police worried about security...,58,V1N1,Staubs
The local police worried about security risks...,58,V1N1N2,Staubs
The local police minimized security...,58,V2N1,Staubs
The local police minimized security risks...,58,V2N1N2,Staubs
The athlete bandaged his elbow...,59,V1N1,Staubs
The athlete bandaged his elbow injury...,59,V1N1N2,Staubs
The athlete suffered his elbow...,59,V2N1,Staubs
The athlete suffered his elbow injury...,59,V2N1N2,Staubs
Gordon was annoyed by the service...,60,V1N1,Staubs
Gordon was annoyed by the service charges...,60,V1N1N2,Staubs
Gordon calculated the service...,60,V2N1,Staubs
Gordon calculated the service charges...,60,V2N1N2,Staubs
The new suburb had a family...,61,V1N1,Staubs
The new suburb had a family doctor...,61,V1N1N2,Staubs
The new office complex had a family...,61,V2N1,Staubs
The new office complex had a family doctor...,61,V2N1N2,Staubs
Larry dropped the pencil...,62,V1N1,Staubs
Larry dropped the pencil shavings...,62,V1N1N2,Staubs
Larry emptied the pencil...,62,V2N1,Staubs
Larry emptied the pencil shavings...,62,V2N1N2,Staubs
George spent time at the library...,63,V1N1,Staubs
George spent time at the library table...,63,V1N1N2,Staubs
George cleaned off the library...,63,V2N1,Staubs
George cleaned off the library table...,63,V2N1N2,Staubs
The dealer polished the cabinet...,64,V1N1,Staubs
The dealer polished the cabinet drawers...,64,V1N1N2,Staubs
The dealer counted the cabinet...,64,V2N1,Staubs
The dealer counted the cabinet drawers...,64,V2N1N2,Staubs
"It required a great effort, but the weight...",65,V1N1,Staubs
"It required a great effort, but the weight lifter...",65,V1N1N2,Staubs
"It was a great event, but the weight...",65,V2N1,Staubs
"It was a great event, but the weight lifter...",65,V2N1N2,Staubs
The teacher was unable to understand the problem...,66,V1N1,Staubs
The teacher was unable to understand the problem child...,66,V1N1N2,Staubs
The teacher was unable to scold the problem...,66,V2N1,Staubs
The teacher was unable to scold the problem child...,66,V2N1N2,Staubs
The visitors dirtied the bathroom...,67,V1N1,Staubs
The visitors dirtied the bathroom towels...,67,V1N1N2,Staubs
The visitors folded the bathroom...,67,V2N1,Staubs
The visitors folded the bathroom towels...,67,V2N1N2,Staubs
The mechanic repaired the automobile...,68,V1N1,Staubs
The mechanic repaired the automobile radio...,68,V1N1N2,Staubs
The mechanic listened to the automobile...,68,V2N1,Staubs
The mechanic listened to the automobile radio...,68,V2N1N2,Staubs
The maid caught the elevator...,69,V1N1,Staubs
The maid caught the elevator mechanic...,69,V1N1N2,Staubs
The maid scolded the elevator...,69,V2N1,Staubs
The maid scolded the elevator mechanic...,69,V2N1N2,Staubs
The botany professor fed the plant...,70,V1N1,Staubs
The botany professor fed the plant parasites...,70,V1N1N2,Staubs
The botany professor counted the plant...,70,V2N1,Staubs
The botany professor counted the plant parasites...,70,V2N1N2,Staubs
The contractor admired the kitchen...,71,V1N1,Staubs
The contractor admired the kitchen fixtures...,71,V1N1N2,Staubs
The contractor ordered the kitchen...,71,V2N1,Staubs
The contractor ordered the kitchen fixtures...,71,V2N1N2,Staubs
Ricardo painted the ceiling...,72,V1N1,Staubs
Ricardo painted the ceiling supports...,72,V1N1N2,Staubs
Ricardo leaned against the ceiling...,72,V2N1,Staubs
Ricardo leaned against the ceiling supports...,72,V2N1N2,Staubs
Lucy walked by the school...,73,V1N1,Staubs
Lucy walked by the school janitor...,73,V1N1N2,Staubs
Lucy met the school...,73,V2N1,Staubs
Lucy met the school janitor...,73,V2N1N2,Staubs
Lindsay finished her homework...,74,V1N1,Staubs
Lindsay finished her homework essays...,74,V1N1N2,Staubs
Lindsay counted her homework...,74,V2N1,Staubs
Lindsay counted her homework essays...,74,V2N1N2,Staubs
The children loved the elephant...,75,V1N1,Staubs
The children loved the elephant shows...,75,V1N1N2,Staubs
The children attended the elephant...,75,V2N1,Staubs
The children attended the elephant shows...,75,V2N1N2,Staubs
Kim heard about the party...,76,V1N1,Staubs
Kim heard about the party outfit...,76,V1N1N2,Staubs
Kim modeled the party...,76,V2N1,Staubs
Kim modeled the party outfit...,76,V2N1N2,Staubs
Veronica heard the music...,77,V1N1,Staubs
Veronica heard the music salesman...,77,V1N1N2,Staubs
Veronica bumped into the music...,77,V2N1,Staubs
Veronica bumped into the music salesman...,77,V2N1N2,Staubs
The astronaut landed on the surface...,78,V1N1,Staubs
The astronaut landed on the surface crater...,78,V1N1N2,Staubs
The astronaut dropped into the surface...,78,V2N1,Staubs
The astronaut dropped into the surface crater...,78,V2N1N2,Staubs
